No escape,Age-independant escape,Age-dependant escape
18,24.0,19.0
13,30.0,24.0
45,8.0,19.0
12,21.0,11.0
20,12.0,20.0
11,19.0,20.0
17,30.0,15.0
30,27.0,23.0
49,15.0,13.0
7,33.0,14.0
8,45.0,5.0
26,8.0,8.0
75,15.0,24.0
26,25.0,24.0
24,20.0,19.0
29,9.0,9.0
27,14.0,30.0
17,35.0,8.0
15,17.0,19.0
17,12.0,21.0
20,25.0,28.0
36,9.0,12.0
26,41.0,19.0
29,10.0,30.0
36,67.0,23.0
31,24.0,24.0
56,2.0,31.0
9,34.0,22.0
34,16.0,4.0
24,13.0,33.0
38,25.0,9.0
39,56.0,8.0
24,26.0,26.0
24,21.0,15.0
17,19.0,30.0
4,8.0,19.0
10,12.0,10.0
19,30.0,39.0
26,38.0,9.0
16,9.0,14.0
14,40.0,36.0
23,12.0,38.0
20,19.0,9.0
14,13.0,12.0
31,21.0,4.0
22,20.0,18.0
19,21.0,25.0
33,32.0,25.0
23,16.0,9.0
22,12.0,41.0
27,39.0,10.0
34,43.0,6.0
36,21.0,2.0
10,49.0,1.0
17,32.0,16.0
15,12.0,35.0
28,55.0,13.0
10,13.0,11.0
19,15.0,25.0
26,37.0,10.0
10,29.0,18.0
26,22.0,8.0
6,22.0,20.0
31,19.0,19.0
30,39.0,30.0
14,30.0,9.0
10,8.0,9.0
18,19.0,19.0
47,40.0,26.0
6,32.0,6.0
15,22.0,7.0
18,16.0,16.0
27,9.0,12.0
28,19.0,39.0
17,14.0,12.0
33,14.0,12.0
34,22.0,33.0
35,27.0,13.0
28,67.0,7.0
34,22.0,22.0
29,39.0,19.0
29,9.0,18.0
22,44.0,32.0
20,15.0,15.0
18,16.0,22.0
11,18.0,45.0
23,10.0,16.0
32,32.0,9.0
9,29.0,24.0
26,15.0,19.0
11,21.0,14.0
29,39.0,28.0
28,24.0,37.0
41,37.0,11.0
20,16.0,27.0
28,46.0,16.0
31,8.0,9.0
29,34.0,22.0
20,8.0,9.0
8,32.0,33.0
28,17.0,16.0
34,40.0,15.0
37,35.0,16.0
20,31.0,32.0
20,53.0,27.0
23,36.0,15.0
25,33.0,21.0
14,16.0,36.0
37,43.0,7.0
37,13.0,18.0
19,56.0,29.0
33,32.0,26.0
26,3.0,16.0
10,25.0,23.0
21,43.0,46.0
9,11.0,8.0
25,16.0,34.0
15,8.0,8.0
35,21.0,31.0
51,20.0,8.0
29,31.0,32.0
27,30.0,25.0
10,21.0,17.0
25,4.0,40.0
15,25.0,9.0
12,17.0,31.0
51,26.0,4.0
25,5.0,26.0
16,50.0,33.0
30,27.0,28.0
40,13.0,16.0
24,27.0,14.0
22,71.0,31.0
13,44.0,32.0
16,34.0,3.0
26,18.0,30.0
10,18.0,3.0
22,37.0,11.0
19,21.0,11.0
19,43.0,8.0
18,9.0,21.0
33,19.0,27.0
10,17.0,31.0
32,25.0,30.0
37,8.0,10.0
47,55.0,21.0
